Red,Green,Blue,Gray_Average,Gray_Median,Gray_SD,Gray_Max,Gray_Min,Gray_Skewness,Gray_Kurtusis,Gray_IQR,Area_Mean,Area_SD,BoundingBox_Mean,BoundingBox_SD,BoundingBox_Skewness,BoundingBox_Kurtusis,Eccentricity_Mean,Eccentricity_SD,FilledArea_Mean,FilledArea_SD,Area,Entropy,Above_Red,Above_Green,Above_Blue,Below_Red,Below_Green,Below_Blue,Target
105.87646,93.83438,75.48904,0.03887,0,0.04118,1,0,1.51094,14.71534,0,6219,0,199.75,228.91938,0,1,0.52687,0,6549,0,160000,0.23708,71912,88088,65817,94183,61363,98637,0
96.83294,86.56968,64.36173,0.03538,0,0.06276,1,0,1.32036,22.70472,0,5660,0,199.75,224.34813,0,1.00169,0.87269,0,6390,0,160000,0.22067,77660,82340,71656,88344,59435,100565,0
91.35686,79.43294,63.55414,0.0478,0,0.04518,1,0,1.33737,13.74985,0,7648,0,199.75,228.91938,0,1,0.59516,0,7859,0,160000,0.27698,65788,94212,91417,68583,88531,71469,0
81.35714,58.20664,43.80496,0.10891,0,0.03637,1,0,0.25761,3.15535,0,17426,0,199.75,228.91938,0,1,0.46369,0,18464,0,160000,0.49663,80216,79784,70924,89076,73509,86491,0
102.88639,80.4587,41.89269,0.04339,0,0.04579,1,0,1.29033,13.16271,0,6943,0,199.75,212.30658,0,1.02645,0.64222,0,7136,0,160000,0.25764,60752,99248,96136,63864,84418,75582,0
77.97392,62.76512,57.37053,0.10174,0,0.06706,1,0,1.29866,7.20647,0,16278,0,199.75,228.91938,0,1,0.47261,0,17603,0,160000,0.47448,61428,98572,59526,100474,58321,101679,0
100.95381,69.07104,39.49949,0.02294,0,0.05241,1,0,1.58964,6.43475,0,3670,0,199.75,228.91938,0,1,0.67563,0,3758,0,160000,0.15763,54689,105311,82484,77516,71123,88877,0
69.24073,69.62362,58.43851,0.04581,0,0.04452,1,0,1.05916,8.31776,0,7330,0,199.75,228.91938,0,1,0.53353,0,7962,0,160000,0.26834,59638,100362,78465,81535,70345,89655,0
111.56584,95.83666,76.54723,0.03553,0,0.03531,1,0,5.26399,62.65855,0,5685,0,199.75,228.91938,0,1,0.23208,0,6727,0,160000,0.22141,64483,95517,61725,98275,78990,81010,0
126.35133,119.36001,87.64549,0.07433,0,0.03417,1,0,0.59147,6.18459,0,11892,0,199.75,228.91938,0,1,0.37711,0,12113,0,160000,0.38186,79393,80607,91441,68559,78481,81519,0
135.02412,91.64557,32.6049,0.01224,0,0.04748,1,0,0.22526,2.5387,0,1958,0,188.25,216.4565,0.0225,1.02994,0.64999,0,2375,0,160000,0.09529,70955,89045,72490,87510,62241,97759,0
68.44131,61.26611,23.76614,0.03444,0,0.04435,1,0,2.59044,47.00326,0,5510,0,199.75,228.91938,0,1,0.29235,0,12562,0,160000,0.21618,58244,101756,63229,96771,48168,111832,0
121.13936,88.11132,32.52688,0.03716,0,0.03943,1,0,0.56666,4.74491,0,5946,0,199.75,228.91938,0,1,0.40758,0,6763,0,160000,0.22913,65070,94930,81347,78653,61836,98164,0
111.0364,94.02711,60.62437,0.03309,0,0.04713,1,0,0.57516,4.14291,0,5295,0,199.75,228.91938,0,1,0.44651,0,5445,0,160000,0.20968,65673,94327,76310,83690,58825,101175,0
112.23209,101.50119,75.01551,0.02599,0,0.04199,1,0,1.82113,9.19566,0,4158,0,199,218.97755,-0.00091,1.0059,0.62315,0,4255,0,160000,0.17385,74347,85653,80948,79052,63126,96874,0
122.62324,90.64424,63.89571,0.0217,0,0.03801,1,0,0.90902,5.87615,0,3472,0,199.75,228.91938,0,1,0.57525,0,6004,0,160000,0.15088,83390,76610,73414,86586,71268,88732,0
126.57105,101.61222,73.7904,0.04778,0,0.03782,1,0,0.5261,4.5628,0,7644,0,199.75,228.91938,0,1,0.59141,0,8922,0,160000,0.27687,88078,71922,74970,85030,67586,92414,0
116.47041,95.8042,86.42688,0.05703,0,0.04074,1,0,0.32726,4.64721,0,9124,0,199.75,228.91938,0,1,0.47431,0,9391,0,160000,0.31552,82667,77333,88011,71989,78573,81427,0
78.7045,67.44178,32.95718,0.07561,0,0.04423,1,0,0.31308,3.38812,0,12097,0,199.75,228.91938,0,1,0.62277,0,12659,0,160000,0.38651,66156,93844,80718,79282,54614,105386,0
98.70367,77.3022,49.14256,0.04866,0,0.03381,1,0,0.42758,4.65584,0,7786,0,199.75,228.91938,0,1,0.5386,0,17332,0,160000,0.28069,68965,91035,78581,81419,52133,107867,0
67.04934,60.22578,36.84162,0.03308,0,0.05931,1,0,2.53252,30.59159,0,5293,0,198.5,216.72063,-0.00175,1.00789,0.23221,0,5376,0,160000,0.20962,44149,115851,72246,87754,60678,99322,0
104.56997,103.00304,69.69043,0.05265,0,0.05253,1,0,2.95555,47.90604,0,8424,0,199.75,228.91938,0,1,0.49565,0,8489,0,160000,0.29755,72826,87174,79319,80681,62029,97971,0
92.24864,81.55696,32.05185,0.0339,0,0.08274,1,0,2.23313,13.13868,0,5424,0,195.75,206.53107,0.01454,1.04895,0.77625,0,5480,0,160000,0.21359,54324,105676,48884,111116,51353,108647,0
